Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
1,512,512,1,512
1,512,512,2,449
1,512,512,3,443
1,512,512,4,508
1,1024,4,0,324
1,1024,4,1,455
1,1024,4,2,269
1,1024,4,3,261
1,1024,4,4,363
1,1024,8,0,332
1,1024,8,1,470
1,1024,8,2,317
1,1024,8,3,286
1,1024,8,4,361
1,1024,16,0,354
1,1024,16,1,518
1,1024,16,2,321
1,1024,16,3,284
1,1024,16,4,360
1,1024,32,0,322
1,1024,32,1,483
1,1024,32,2,305
1,1024,32,3,223
1,1024,32,4,334
1,1024,64,0,597
1,1024,64,1,986
1,1024,64,2,574
1,1024,64,3,540
1,1024,64,4,793
1,1024,128,0,813
1,1024,128,1,1024
1,1024,128,2,789
1,1024,128,3,759
1,1024,128,4,1001
1,1024,256,0,922
1,1024,256,1,1024
1,1024,256,2,897
1,1024,256,3,877
1,1024,256,4,1021
1,1024,512,0,96711,1024,512,1,1024
1,1024,512,2,955
1,1024,512,3,946
1,1024,512,4,1020
1,2048,4,0,661
1,2048,4,1,945
1,2048,4,2,569
1,2048,4,3,527
1,2048,4,4,695
1,2048,8,0,669
1,2048,8,1,1044
1,2048,8,2,669
1,2048,8,3,592
1,2048,8,4,7211,1,2048,16,0,6371,1,2048,16,1,10851,1,2048,16,2,6551,1,2048,16,3,5271,1,2048,16,4,7031,1,2048,32,0,12471,1,2048,32,1,19881,1,2048,32,2,12001,1,2048,32,3,11281,1,2048,32,4,15911,1,2048,64,0,16291,1,2048,64,1,20471,1,2048,64,2,15851,1,2048,64,3,15411,1,2048,64,4,19971,1,2048,128,0,18381,1,2048,128,1,20481,1,2048,128,2,18081,1,2048,128,3,17661,1,2048,128,4,20421,1,2048,256,0,19421,1,2048,256,1,20481,1,2048,256,2,19161,1,2048,256,3,19071,1,2048,256,4,20451,1,2048,512,0,19911,1,2048,512,1,20481,1,2048,512,2,19761,1,2048,512,3,19721,1,2048,512,4,2045
Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
2,4,4,0,0
2,4,4,1,1
2,4,4,2,0
2,4,4,3,0
2,4,4,4,0
2,4,8,0,1
2,4,8,1,1
2,4,8,2,0
2,4,8,3,1
2,4,8,4,0
2,4,16,0,0
2,4,16,1,0
2,4,16,2,0
2,4,16,3,0
2,4,16,4,0
2,4,32,0,0
2,4,32,1,1
2,4,32,2,0
2,4,32,3,0
2,4,32,4,0
2,4,64,0,0
2,4,64,1,0
2,4,64,2,0
2,4,64,3,0
2,4,64,4,0
2,4,128,0,0
2,4,128,1,0
2,4,128,2,0
2,4,128,3,0
2,4,128,4,0
2,4,256,0,0
2,4,256,1,0
2,4,256,2,0
2,4,256,3,0
2,4,256,4,0
2,4,512,0,0
2,4,512,1,0
2,4,512,2,0
2,4,512,3,0
2,4,512,4,0
2,8,4,0,0
2,8,4,1,0
2,8,4,2,0
2,8,4,3,0
2,8,4,4,1
2,8,8,0,1
2,8,8,1,1
2,8,8,2,0
2,8,8,3,3
2,8,8,4,1
2,8,16,0,1
2,8,16,1,0
2,8,16,2,0
2,8,16,3,0
2,8,16,4,2
2,8,32,0,0
2,8,32,1,0
2,8,32,2,0
2,8,32,3,0
2,8,32,4,0
2,8,64,0,0
2,8,64,1,0
2,8,64,2,0
2,8,64,3,0
