Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
1,512,512,1,512
1,512,512,2,448
1,512,512,3,439
1,512,512,4,507
1,1024,4,0,331
1,1024,4,1,470
1,1024,4,2,285
1,1024,4,3,294
1,1024,4,4,337
1,1024,8,0,324
1,1024,8,1,524
1,1024,8,2,301
1,1024,8,3,306
1,1024,8,4,375
1,1024,16,0,315
1,1024,16,1,496
1,1024,16,2,293
1,1024,16,3,275
1,1024,16,4,371
1,1024,32,0,332
1,1024,32,1,498
1,1024,32,2,289
1,1024,32,3,227
1,1024,32,4,325
1,1024,64,0,602
1,1024,64,1,1001
1,1024,64,2,591
1,1024,64,3,547
1,1024,64,4,798
1,1024,128,0,808
1,1024,128,1,1024
1,1024,128,2,782
1,1024,128,3,760
1,1024,128,4,999
1,1024,256,0,910
1,1024,256,1,1024
1,1024,256,2,897
1,1024,256,3,881
1,1024,256,4,1020
1,1024,512,0,973
1,1024,512,1,1024
1,1024,512,2,958
1,1024,512,3,947
1,1024,512,4,1021
1,2048,4,0,641
1,2048,4,1,937
1,2048,4,2,540
1,2048,4,3,549
,4,4,681
1,2048,8,0,672
1,2048,8,1,1034
1,2048,8,2,657
1,2048,8,3,595
1,2048,8,4,708
1,2048,16,0,674
1,2048,16,1,1012
1,2048,16,2,622
1,2048,16,3,522
1,2048,16,4,696
1,2048,32,0,1250
1,2048,32,1,1970
1,2048,32,2,1177
1,2048,32,3,1119
1,2048,32,4,1613
1,2048,64,0,1640
1,2048,64,1,2048
1,2048,64,2,1564
1,2048,64,3,1536
1,2048,64,4,1992
1,2048,128,0,1835
1,2048,128,1,2048
1,2048,128,2,1798
1,2048,128,3,1780
1,2048,128,4,2043
1,2048,256,0,1940
1,2048,256,1,2048
1,2048,256,2,1920
1,2048,256,3,1898
1,2048,256,4,2045
1,2048,512,0,1992
1,2048,512,1,2048
1,2048,512,2,1979
1,2048,512,3,1970
1,2048,512,4,2045

Number_of_Cores,Number of Processes,Average Process Length,Algorithm,Number of Starvations
2,4,4,0,0
2,4,4,1,0
2,4,4,2,1
2,4,4,3,0
2,4,4,4,1
2,4,8,0,0
2,4,8,1,0
2,4,8,2,0
2,4,8,3,0
2,4,8,4,0
2,4,16,0,0
2,4,16,1,0
2,4,16,2,0
2,4,16,3,1
2,4,16,4,0
2,4,32,0,0
2,4,32,1,0
2,4,32,2,1
2,4,32,3,0
2,4,32,4,0
2,4,64,0,0
2,4,64,1,0
2,4,64,2,0
2,4,64,3,0
2,4,64,4,0
2,4,128,0,0
2,4,128,1,0
2,4,128,2,0
2,4,128,3,0
2,4,128,4,0
2,4,256,0,0
2,4,256,1,0
2,4,256,2,0
2,4,256,3,0
2,4,256,4,0
2,4,512,0,0
2,4,512,1,0
2,4,512,2,0
2,4,512,3,0
2,4,512,4,0
2,8,4,0,0
2,8,4,1,1
2,8,4,2,1
2,8,4,3,1
2,8,4,4,0
2,8,8,0,3
2,8,8,1,1
2,8,8,2,3
2,8,8,3,2
2,8,8,4,0
2,8,16,0,1
2,8,16,1,0
2,8,16,2,1
2,8,16,3,0
2,8,16,4,1
2,8,32,0,0
2,8,32,1,0
2,8,32,2,1
2,8,32,3,0
2,8,32,4,1
2,8,64,0,0
2,8,64,1,0
2,8,64,2,0
2,8,64,3,0
2,8,64,4,0
2,8,128,0,0
2,8,128,1,0
2,8,128,2,0
2,8,128,3,0
2,8,128,4,0
2,8,256,0,0
2,8,256,1,0
2,8,256,2,0
2,8,256,3,0
2,8,256,4,0
2,8,512,0,0
2,8,512,1,0
2,8,512,2,0
2,8,512,3,0
2,8,512,4,0
2,16,4,0,3
2,16,4,1,3
2,16,4,2,1
2,16,4,3,4
2,16,4,4,1
2,16,8,0,1
2,16,8,1,1
2,16,8,2,2
2,16,8,3,0
2,16,8,4,1
2,16,16,0,1
2,16,16,1,0
2,16,16,2,2
2,16,16,3,0
2,16,16,4,2
2,16,32,0,0
2,16,32,1,0
2,16,32,2,0
2,16,32,3,0
2,16,32,4,0
2,16,64,0,0
2,16,64,1,0
2,16,64,2,0
2,16,64,3,0
2,16,64,4,0
2,16,128,0,0
2,16,128,1,0
2,16,128,2,0
2,16,128,3,0
2,16,128,4,0
2,16,256,0,0
2,16,256,1,0
2,16,256,2,0
2,16,256,3,0
2,16,256,4,0
2,16,512,0,0
2,16,512,1,0
2,16,512,2,0
2,16,512,3,0
2,16,512,4,0
2,32,4,0,3
2,32,4,1,2
2,32,4,2,2
2,32,4,3,6
2,32,4,4,5
2,32,8,0,4
2,32,8,1,4
2,32,8,2,3
2,32,8,3,2
2,32,8,4,3
2,32,16,0,3
2,32,16,1,1
2,32,16,2,4
2,32,16,3,3
2,32,16,4,3
2,32,32,0,1
2,32,32,1,2
2,32,32,2,1
2,32,32,3,1
2,32,32,4,1
2,32,64,0,0
